schedule_id,nationality,number,name,position,attackpoints,blockpoints,servepoints,efficency,totalabs,attack_pt,attack_err,attack_att,attack_tot,attack_eff,block_pt,block_err,block_touches,block_tot,block_eff,serve_pt,serve_err,serve_attempts,serve_tot,serve_eff,reception_successful,reception_err,reception_attempts,reception_tot,reception_eff,dig_digs,dig_err,dig_tot,dig_eff,set_pt,set_err,set_attempts,set_tot,set_eff
11900,SRB,28,Delic Jelena ,MB,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0, ,0,0,0,0, 
11900,SRB,32,Gocanin Bojana ,L,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,5,4,26,35,2.86,25,2,28,82.14,0,1,11,12,-8.33
11900,SRB,33,Cvetkovic Jovana ,OH,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0, ,0,0,0,0, 
11900,SRB,34,Mirosavljevic Jovana ,OH,1,0,0,20.00,1,1,0,1,2,50.00,0,0,1,1,0.00,0,0,2,2,0.00,0,0,3,3,0.00,0,0,0, ,0,0,0,0, 
11901,ITA,2,Bosio Francesca ,S,0,0,1,4.55,1,0,0,1,1,0.00,0,0,4,4,0.00,1,0,16,17,5.88,0,0,0,0, ,6,2,8,50.00,12,0,82,94,12.77
11901,ITA,4,Bonifacio Sara ,MB,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0, ,0,0,0,0, 
11901,ITA,12,Guerra Anastasia ,OH,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0, ,0,0,0,0, 
11901,ITA,15,Nwakalor Sylvia Chinelo ,O,6,2,0,-23.53,8,6,7,6,19,-5.26,2,5,2,9,-33.33,0,4,2,6,-66.67,0,0,0,0, ,8,1,9,77.78,0,0,2,2,0.00
11901,ITA,19,Mingardi Camilla ,OH,9,0,0,17.86,9,9,1,10,20,40.00,0,2,2,4,-50.00,0,1,3,4,-25.00,0,0,0,0, ,5,3,10,20.00,0,0,0,0, 
11901,ITA,21,Lubian Marina ,MB,7,1,4,17.65,12,7,0,4,11,63.64,1,4,2,7,-42.86,4,2,10,16,12.50,0,0,0,0, ,2,0,2,100.00,0,0,2,2,0.00
11901,ITA,23,De Bortoli Chiara ,L,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,1,3,6,10,-20.00,13,3,18,55.56,0,0,6,6,0.00
11901,ITA,24,Mazzaro Alessia ,MB,2,1,0,6.67,3,2,0,3,5,40.00,1,2,0,3,-33.33,0,0,7,7,0.00,0,0,0,0, ,1,1,2,0.00,0,0,0,0, 
11901,ITA,26,Battistoni Ilaria ,S,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0, ,0,0,6,6,0.00
11901,ITA,27,Furlan Eleonora ,MB,3,2,0,9.09,5,3,0,4,7,42.86,2,2,3,7,0.00,0,1,7,8,-12.50,0,0,0,0, ,0,0,1,0.00,0,0,0,0, 
11901,ITA,28,Melli Giulia ,OH,10,2,0,18.75,12,10,3,7,20,35.00,2,1,0,3,33.33,0,2,7,9,-22.22,8,2,38,48,12.50,3,1,5,40.00,0,0,3,3,0.00
11901,ITA,29,D'Odorico Sofia ,OH,10,0,1,1.92,11,10,4,19,33,18.18,0,3,3,6,-50.00,1,3,9,13,-15.38,6,2,10,18,22.22,4,1,6,50.00,0,0,1,1,0.00
11901,ITA,31,Fersino Eleonora ,L,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,1,0,1,2,50.00,4,1,5,60.00,0,0,0,0, 
11901,ITA,32,Omoruyi Oghosasere Loveth ,OH,0,0,0,-50.00,0,0,1,0,1,-100.00,0,0,0,0, ,0,0,1,1,0.00,0,0,5,5,0.00,0,2,2,-100.00,0,0,2,2,0.00
11901,USA,1,Hancock Micha ,S,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0, ,0,0,0,0, 
11901,USA,2,Poulter Jordyn ,S,1,1,1,7.41,3,1,1,3,5,0.00,1,0,1,2,50.00,1,0,19,20,5.00,0,1,0,1,-100.00,6,1,7,71.43,16,0,95,111,14.41
11901,USA,4,Wong-Orantes Justine ,L,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,8,2,19,29,20.69,20,6,26,53.85,0,0,5,5,0.00
11901,USA,6,Dixon Tetori ,MB,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0, ,0,0,0,0, 
