matchid,matchname,teamhome,teamaway,scorehome,awayhome,result,points_home,points_away
11753,Pool 3 - Preliminary Round - Men,IRI,USA,3,0,"[25, 19, 25, 23, 25, 23]",75,65
11754,Pool 3 - Preliminary Round - Men,POL,BUL,3,0,"[25, 19, 25, 15, 25, 12]",75,46
11755,Pool 3 - Preliminary Round - Men,NED,BRA,0,3,"[19, 25, 22, 25, 25, 27]",66,77
11756,Pool 3 - Preliminary Round - Men,SRB,IRI,3,2,"[21, 25, 25, 15, 26, 28, 25, 22, 15, 8]",112,98
11757,Pool 3 - Preliminary Round - Men,RUS,CAN,3,1,"[25, 18, 25, 18, 23, 25, 25, 23]",98,84
11758,Pool 3 - Preliminary Round - Men,FRA,SLO,2,3,"[25, 17, 25, 19, 23, 25, 19, 25, 9, 15]",101,101
11759,Pool 3 - Preliminary Round - Men,ARG,AUS,3,0,"[25, 18, 25, 19, 25, 20]",75,57
11760,Pool 3 - Preliminary Round - Men,GER,USA,0,3,"[12, 25, 18, 25, 27, 29]",57,79
11761,Pool 3 - Preliminary Round - Men,BUL,BRA,0,3,"[16, 25, 22, 25, 12, 25]",50,75
11762,Pool 3 - Preliminary Round - Men,JPN,ITA,3,2,"[21, 25, 25, 22, 22, 25, 25, 15, 15, 9]",108,96
11763,Pool 3 - Preliminary Round - Men,POL,NED,3,0,"[25, 14, 25, 17, 25, 16]",75,47
11764,Pool 3 - Preliminary Round - Men,IRI,GER,2,3,"[25, 23, 20, 25, 19, 25, 25, 19, 13, 15]",102,107
11765,Pool 3 - Preliminary Round - Men,SLO,RUS,3,2,"[19, 25, 25, 23, 22, 25, 25, 20, 15, 8]",106,101
11766,Pool 3 - Preliminary Round - Men,JPN,ARG,1,3,"[32, 30, 16, 25, 18, 25, 21, 25]",87,105
11767,Pool 3 - Preliminary Round - Men,NED,BUL,2,3,"[18, 25, 25, 18, 25, 17, 22, 25, 13, 15]",103,100
11768,Pool 3 - Preliminary Round - Men,AUS,ITA,0,3,"[20, 25, 22, 25, 14, 25]",56,75
11769,Pool 3 - Preliminary Round - Men,USA,SRB,1,3,"[23, 25, 17, 25, 25, 19, 25, 27]",90,96
11770,Pool 3 - Preliminary Round - Men,CAN,FRA,1,3,"[25, 20, 21, 25, 22, 25, 17, 25]",85,95
11771,Pool 3 - Preliminary Round - Men,POL,BRA,0,3,"[17, 25, 26, 28, 19, 25]",62,78
11902,Pool 4 - Preliminary Round - Women,RUS,KOR,3,0,"[25, 23, 25, 17, 25, 17]",75,57
11903,Pool 4 - Preliminary Round - Women,THA,GER,3,1,"[24, 26, 25, 21, 25, 21, 25, 16]",99,84
11904,Pool 4 - Preliminary Round - Women,JPN,TUR,3,1,"[25, 17, 25, 20, 17, 25, 25, 19]",92,81
11905,Pool 4 - Preliminary Round - Women,USA,BEL,3,0,"[25, 9, 26, 24, 25, 20]",76,53
11906,Pool 4 - Preliminary Round - Women,CHN,NED,3,0,"[25, 12, 25, 18, 33, 31]",83,61
11907,Pool 4 - Preliminary Round - Women,CAN,SRB,3,1,"[25, 21, 22, 25, 25, 21, 25, 18]",97,85
11908,Pool 4 - Preliminary Round - Women,DOM,ITA,3,1,"[25, 21, 25, 19, 22, 25, 26, 24]",98,89
11909,Pool 4 - Preliminary Round - Women,POL,BRA,0,3,"[22, 25, 20, 25, 23, 25]",65,75
11910,Pool 4 - Preliminary Round - Women,TUR,BEL,3,0,"[25, 20, 25, 17, 25, 19]",75,56
11911,Pool 4 - Preliminary Round - Women,USA,JPN,3,0,"[25, 23, 26, 24, 25, 20]",76,67
11912,Pool 4 - Preliminary Round - Women,ITA,NED,2,3,"[21, 25, 28, 26, 25, 20, 21, 25, 10, 15]",105,111
11913,Pool 4 - Preliminary Round - Women,DOM,CHN,1,3,"[14, 25, 20, 25, 25, 19, 22, 25]",81,94
11914,Pool 4 - Preliminary Round - Women,RUS,CAN,3,0,"[25, 15, 25, 12, 25, 14]",75,41
11915,Pool 4 - Preliminary Round - Women,KOR,SRB,3,1,"[25, 13, 23, 25, 25, 13, 25, 23]",98,74
11916,Pool 4 - Preliminary Round - Women,THA,POL,0,3,"[23, 25, 15, 25, 20, 25]",58,75
11917,Pool 4 - Preliminary Round - Women,GER,BRA,1,3,"[25, 22, 17, 25, 21, 25, 22, 25]",85,97
11918,Pool 4 - Preliminary Round - Women,BEL,JPN,1,3,"[25, 23, 22, 25, 21, 25, 21, 25]",89,98
11919,Pool 4 - Preliminary Round - Women,RUS,SRB,3,0,"[25, 8, 25, 17, 25, 23]",75,48
11920,Pool 4 - Preliminary Round - Women,NED,DOM,1,3,"[23, 25, 25, 23, 28, 30, 22, 25]",98,103
11921,Pool 4 - Preliminary Round - Women,GER,POL,3,0,"[25, 23, 25, 20, 25, 23]",75,66
11922,Pool 4 - Preliminary Round - Women,CHN,ITA,3,0,"[25, 19, 25, 11, 25, 19]",75,49
11923,Pool 4 - Preliminary Round - Women,KOR,CAN,3,2,"[15, 25, 25, 18, 27, 29, 25, 20, 21, 19]",113,111
11924,Pool 4 - Preliminary Round - Women,BRA,THA,3,0,"[25, 11, 25, 14, 25, 10]",75,35
11925,Pool 4 - Preliminary Round - Women,USA,TUR,3,1,"[25, 21, 23, 25, 25, 15, 25, 14]",98,75
