matchid,matchname,teamhome,teamaway,scorehome,awayhome,result
11911,Pool 4 - Preliminary Round - Women,USA,JPN,3,0,"['25', '-', '23', '26', '-', '24', '25', '-', '20']"
11912,Pool 4 - Preliminary Round - Women,ITA,NED,2,3,"['21', '-', '25', '28', '-', '26', '25', '-', '20', '21', '-', '25', '10', '-', '15']"
11913,Pool 4 - Preliminary Round - Women,DOM,CHN,1,3,"['14', '-', '25', '20', '-', '25', '25', '-', '19', '22', '-', '25']"
11914,Pool 4 - Preliminary Round - Women,RUS,CAN,3,0,"['25', '-', '15', '25', '-', '12', '25', '-', '14']"
11915,Pool 4 - Preliminary Round - Women,KOR,SRB,3,1,"['25', '-', '13', '23', '-', '25', '25', '-', '13', '25', '-', '23']"
11916,Pool 4 - Preliminary Round - Women,THA,POL,0,3,"['23', '-', '25', '15', '-', '25', '20', '-', '25']"
11917,Pool 4 - Preliminary Round - Women,GER,BRA,1,3,"['25', '-', '22', '17', '-', '25', '21', '-', '25', '22', '-', '25']"
11918,Pool 4 - Preliminary Round - Women,BEL,JPN,1,3,"['25', '-', '23', '22', '-', '25', '21', '-', '25', '21', '-', '25']"
11919,Pool 4 - Preliminary Round - Women,RUS,SRB,3,0,"['25', '-', '8', '25', '-', '17', '25', '-', '23']"
11920,Pool 4 - Preliminary Round - Women,NED,DOM,1,3,"['23', '-', '25', '25', '-', '23', '28', '-', '30', '22', '-', '25']"
11921,Pool 4 - Preliminary Round - Women,GER,POL,3,0,"['25', '-', '23', '25', '-', '20', '25', '-', '23']"
11922,Pool 4 - Preliminary Round - Women,CHN,ITA,3,0,"['25', '-', '19', '25', '-', '11', '25', '-', '19']"
11923,Pool 4 - Preliminary Round - Women,KOR,CAN,3,2,"['15', '-', '25', '25', '-', '18', '27', '-', '29', '25', '-', '20', '21', '-', '19']"
11924,Pool 4 - Preliminary Round - Women,BRA,THA,3,0,"['25', '-', '11', '25', '-', '14', '25', '-', '10']"
